MAL_ID,Name,Score,,,,,,
1,Cowboy Bebop,8.78,,,,,,
5,Cowboy Bebop: Tengoku no Tobira,8.39,,,,,,
6,Trigun,8.24,,,,,,
7,Witch Hunter Robin,7.27,,,,,,
8,Bouken Ou Beet,6.98,,,,,,
15,Eyeshield 21,7.95,,,,,,
16,Hachimitsu to Clover,8.06,,,,,,
17,Hungry Heart: Wild Striker,7.59,,,,,,
18,Initial D Fourth Stage,8.15,,,,,,
19,Monster,8.76,,,,,,
20,Naruto,7.91,,,,,,
21,One Piece,8.52,,,,,,
22,Tennis no Ouji-sama,7.9,,,,,,
23,Ring ni Kakero 1,6.38,,,,,,
24,School Rumble,7.94,,,,,,
25,Sunabouzu,7.42,,,,,,
26,Texhnolyze,7.76,,,,,,
27,Trinity Blood,7.32,,,,,,
28,Yakitate!! Japan,7.95,,,,,,
29,Zipang,7.51,,,,,,
30,Neon Genesis Evangelion,8.32,,,,,,
31,Neon Genesis Evangelion: Death & Rebirth,7.45,,,,,,
32,Neon Genesis Evangelion: The End of Evangelion,8.51,,,,,,
33,Kenpuu Denki Berserk,8.49,,,,,,
43,Koukaku Kidoutai,8.29,,,,,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,,,,,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,,,,,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,,,,,,
47,Akira,8.17,,,,,,
48,.hack//Sign,6.98,,,,,,
49,Aa! Megami-sama!,7.32,,,,,,
50,Aa! Megami-sama! (TV),7.35,,,,,,
51,Tenshi Kinryouku,6.31,,,,,,
52,Kidou Tenshi Angelic Layer,7.26,,,,,,
53,Ai Yori Aoshi,7.14,,,,,,
54,Appleseed (Movie),7.1,,,,,,
55,Arc the Lad,6.53,,,,,,
56,Avenger,5.91,,,,,,
57,Beck,8.31,,,,,,
58,Blue Gender,7.05,,,,,,
59,Chobits,7.43,,,,,,
60,Chrno Crusade,7.66,,,,,,
61,D.N.Angel,7.2,,,,,,
62,D.C.: Da Capo,6.77,,,,,,
63,DearS,6.62,,,,,,
64,Rozen Maiden,7.44,,,,,,
65,Rozen Maiden: Träumend,7.65,,,,,,
66,Azumanga Daioh,7.98,,,,,,
67,Basilisk: Kouga Ninpou Chou,7.58,,,,,,
68,Black Cat (TV),7.38,,,,,,
69,Cluster Edge,6.35,,,,,,
71,Full Metal Panic!,7.65,,,,,,
72,Full Metal Panic? Fumoffu,8.07,,,,,,
73,Full Metal Panic! The Second Raid,7.96,,,,,,
74,Gakuen Alice,7.65,,,,,,
75,Soukyuu no Fafner: Dead Aggressor,7.3,,,,,,
76,Mahou Shoujo Lyrical Nanoha,7.42,,,,,,
77,Mahou Shoujo Lyrical Nanoha A's,7.99,,,,,,
79,Shuffle!,7.09,,,,,,
80,Mobile Suit Gundam,7.78,,,,,,
81,Mobile Suit Gundam: The 08th MS Team,8.03,,,,,,
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,,,,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,,,,,,
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,,,,,,
85,Mobile Suit Zeta Gundam,7.92,,,,,,
86,Mobile Suit Gundam ZZ,6.66,,,,,,
87,Mobile Suit Gundam: Char's Counterattack,7.68,,,,,,
88,Mobile Suit Gundam F91,6.67,,,,,,
89,Mobile Suit Victory Gundam,6.76,,,,,,
90,Mobile Suit Gundam Wing,7.72,,,,,,
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,,,,,,
92,After War Gundam X,7.32,,,,,,
93,Mobile Suit Gundam SEED,7.79,,,,,,
94,Mobile Suit Gundam SEED Destiny,7.22,,,,,,
95,Turn A Gundam,7.7,,,,,,
96,Mobile Fighter G Gundam,7.56,,,,,,
97,Last Exile,7.82,,,,,,
98,Mai-HiME,7.46,,,,,,
99,Mai-Otome,7.31,,,,,,
100,Shin Shirayuki-hime Densetsu Prétear,7.2,,,,,,
101,Air,7.32,,,,,,
102,Aishiteruze Baby★★,7.48,,,,,,
103,Akazukin Chacha,7.39,,,,,,
104,Ayashi no Ceres,7.23,,,,,,
105,Boys Be...,6.46,,,,,,
106,Hana yori Dango,7.7,,,,,,
107,Ou Dorobou Jing,7.23,,,,,,
108,Ou Dorobou Jing in Seventh Heaven,7.29,,,,,,
109,Bakuretsu Tenshi,6.81,,,,,,
110,Chuuka Ichiban!,7.63,,,,,,
111,Corrector Yui,6.83,,,,,,
112,Chou Henshin Cosprayers,4.95,,,,,,
113,Uchuu no Stellvia,7.38,,,,,,
114,Sakigake!! Cromartie Koukou,7.93,,,,,,
115,El Hazard: The Alternative World,6.83,,,,,,
116,El Hazard: The Wanderers,6.97,,,,,,
117,El Hazard: The Magnificent World,7.32,,,,,,
118,El Hazard 2: The Magnificent World,6.85,,,,,,
119,Final Approach,6.56,,,,,,
120,Fruits Basket,7.69,,,,,,
121,Fullmetal Alchemist,8.17,,,,,,
122,Full Moon wo Sagashite,7.96,,,,,,
123,Fushigi Yuugi,7.64,,,,,,
124,Fushigi Yuugi: Eikouden,6.86,,,,,,
125,Futakoi,6.49,,,,,,
126,Futakoi Alternative,6.91,,,,,,
127,Gate Keepers,6.96,,,,,,
128,Gate Keepers 21,6.79,,,,,,
129,Gensoumaden Saiyuuki,7.59,,,,,,
130,Saiyuuki Reload,7.41,,,,,,
131,Saiyuuki Reload Gunlock,7.42,,,,,,
132,GetBackers,7.61,,,,,,
133,Green Green,6.21,,,,,,
134,Gunslinger Girl,7.42,,,,,,
135,Hikaru no Go,8.11,,,,,,
136,Hunter x Hunter,8.42,,,,,,
137,Hunter x Hunter: Original Video Animation,8.33,,,,,,
138,Hunter x Hunter: Greed Island,8.21,,,,,,
139,Hunter x Hunter: Greed Island Final,8.29,,,,,,
141,Jinki:Extend,6.14,,,,,,
142,Kamikaze Kaitou Jeanne,7.45,,,,,,
143,Kannazuki no Miko,6.87,,,,,,
144,Kanon,7.11,,,,,,
145,Kareshi Kanojo no Jijou,7.61,,,,,,
146,Kono Minikuku mo Utsukushii Sekai,6.76,,,,,,
147,Kimi ga Nozomu Eien,7.24,,,,,,
148,Kita e.: Diamond Dust Drops,6.62,,,,,,
149,Loveless,6.86,,,,,,
150,Blood+,7.66,,,,,,
151,Re: Cutey Honey,7.12,,,,,,
152,Solty Rei,7.28,,,,,,
153,Juuni Kokuki,8.06,,,,,,
154,Shaman King,7.78,,,,,,
155,X/1999,6.59,,,,,,
156,X,7.43,,,,,,
157,Mahou Sensei Negima!,6.98,,,,,,
158,Maria-sama ga Miteru,7.34,,,,,,
159,Boukyaku no Senritsu,6.34,,,,,,
