user_id,location,isbn,rating,book_title,book_author,year_of_publication,publisher
2,"stockton, california, usa",195153448,0,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press
8,"timmins, ontario, canada",2005018,5,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
11400,"ottawa, ontario, canada",2005018,0,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
11676,"n/a, n/a, n/a",2005018,8,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
41385,"sudbury, ontario, canada",2005018,0,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
67544,"toronto, ontario, canada",2005018,8,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
85526,"victoria, british columbia, canada",2005018,0,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
96054,"ottawa, ontario, canada",2005018,0,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
116866,"ottawa, ,",2005018,9,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
123629,"kingston, ontario, canada",2005018,9,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
177458,"ottawa, ontario, canada",2005018,0,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
200273,"comber, ontario, canada",2005018,8,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
210926,"guelph, ontario, canada",2005018,9,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
219008,"halifax, nova scotia, canada",2005018,7,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
263325,"fredericton, new brunswick, canada",2005018,6,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada
8,"timmins, ontario, canada",60973129,0,Decision in Normandy,Carlo D'Este,1991,HarperPerennial
2954,"wichita, kansas, usa",60973129,8,Decision in Normandy,Carlo D'Este,1991,HarperPerennial
152827,"ottawa, ontario, canada",60973129,7,Decision in Normandy,Carlo D'Este,1991,HarperPerennial
8,"timmins, ontario, canada",374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
35704,"kansas city, missouri, usa",374157065,6,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
83160,"oregon city, oregon, usa",374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
110912,"milpitas, california, usa",374157065,10,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
137688,"medford, new york, usa",374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
157969,"denver, colorado, usa",374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
169187,"edmonton, alberta, canada",374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
192665,"vacaville, california, usa",374157065,8,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
197659,"indiana, pennsylvania, usa",374157065,9,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
208059,"payson, arizona, usa",374157065,6,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
209163,"columbus, ohio, usa",374157065,0,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux
8,"timmins, ontario, canada",393045218,0,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton & Company
8,"timmins, ontario, canada",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
11676,"n/a, n/a, n/a",399135782,9,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
29526,"knoxville, tennessee, usa",399135782,9,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
36836,"raleigh, north carolina, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
46398,"san antonio, texas, usa",399135782,9,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
49300,"loveland, colorado, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
49635,"seattle, washington, usa",399135782,9,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
67958,"idaho falls, idaho, usa",399135782,10,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
113270,"evanston, illinois, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
113519,"pleasanton, california, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
115097,"seattle, ,",399135782,7,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
136509,"santa barbara, california, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
148712,"homer, alaska, usa",399135782,10,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
153461,"upland, california, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
178269,"harbor city, california, usa",399135782,5,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
180297,"ann arbor, michigan, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
188589,"klang, selangor, malaysia",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
194722,"dallas, texas, usa",399135782,9,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
198013,"sandy, oregon, usa",399135782,7,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
200674,"pittsburg, missouri, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
207148,"san diego, california, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
211919,"jacksonville, florida, usa",399135782,0,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
212449,"austin, texas, usa",399135782,8,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
213191,"san diego, california, usa",399135782,8,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
