Location,MinTemp,MaxTemp,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainTomorrow
34,4,8,42,36,22,16,18,34,30,80
84,6,40,30,8,20,43,18,34,19,76
80,49,1,27,33,22,88,51,1,20,67
43,10,43,29,6,37,45,96,26,10,79
41,45,21,35,44,15,39,50,42,36,62
48,4,49,46,37,11,31,15,9,12,86
89,35,33,25,43,21,41,76,29,24,59
94,2,50,26,26,36,52,59,33,48,27
74,48,50,43,21,21,27,77,18,32,67
1,9,21,14,36,32,25,13,2,22,64
32,2,11,15,25,13,35,25,23,13,16
2,1,19,28,19,30,64,84,3,33,85
78,7,50,21,35,12,85,36,49,3,50
16,11,34,5,37,14,13,9,16,13,66
64,4,8,41,49,38,22,31,30,21,63
13,37,31,43,30,46,99,9,17,39,51
47,1,5,43,19,1,99,11,13,8,94
48,33,8,5,6,10,83,34,5,10,97
2,4,35,38,15,23,86,28,45,18,92
21,50,7,27,35,43,74,70,5,16,20
21,43,30,21,20,13,40,77,13,36,38
3,43,3,27,2,37,91,58,33,2,100
26,46,21,10,44,24,44,99,47,6,63
72,45,33,26,22,47,79,97,14,6,84
70,26,13,45,11,20,24,51,27,6,94
15,30,23,20,50,19,55,21,38,32,86
53,46,20,20,44,0,84,10,13,34,75
63,39,22,19,11,35,84,87,32,24,60
3,22,29,3,49,33,4,37,40,30,99
32,31,12,40,3,35,50,77,13,12,8
30,45,38,21,4,15,8,35,34,36,63
31,24,47,44,25,7,58,99,37,36,87
51,15,15,13,33,31,4,94,30,22,97
24,30,40,44,37,39,47,43,18,9,97
62,9,46,39,42,26,89,65,35,31,82
3,47,37,2,10,3,55,29,21,46,62
65,13,45,30,45,20,44,74,1,16,22
5,36,6,44,31,30,74,15,11,20,84
66,38,2,6,13,39,1,68,15,30,69
14,19,41,8,3,19,76,15,3,22,79
55,12,32,13,36,47,5,68,11,0,12
54,42,24,25,25,36,70,72,18,40,82
84,30,41,8,20,33,18,97,20,0,42
15,13,36,31,23,1,41,19,18,14,3
38,22,43,7,12,19,37,29,34,22,36
19,25,42,44,19,16,40,9,27,10,53
55,2,3,4,32,19,16,61,12,17,9
37,14,2,40,41,2,95,32,17,25,18
34,32,25,34,6,36,1,91,46,10,88
79,13,32,25,45,24,9,27,9,30,7
28,5,29,29,27,49,45,62,28,29,67
44,47,41,18,19,24,68,22,3,3,25
50,46,27,34,6,6,56,55,13,35,60
96,25,39,29,9,45,71,9,16,16,15
100,4,22,16,13,34,95,24,33,6,33
41,50,47,29,49,10,39,12,42,46,54
9,19,9,30,3,32,28,65,46,9,7
86,10,49,23,27,39,67,27,8,46,26
97,18,6,34,7,4,47,95,48,37,67
94,45,49,5,10,48,74,58,20,1,25
81,50,20,14,30,36,8,80,23,41,86
99,38,10,18,45,5,21,54,40,0,23
47,34,20,11,8,9,99,3,23,30,22
3,48,30,23,36,20,32,27,19,29,45
44,7,20,23,40,13,67,78,1,33,5
